hrv_id,focus_id,hrv_data,hrv_rawdata,timestamp
1,1,47.5,"{'SDNN': 17.3, 'RMSSD': 16.9}",14:27
2,1,50.6,"{'SDNN': 22.5, 'RMSSD': 17.0}",14:28
3,1,53.6,"{'SDNN': 23.4, 'RMSSD': 14.2}",14:29
4,1,52.8,"{'SDNN': 20.0, 'RMSSD': 16.8}",14:30
5,1,53.7,"{'SDNN': 22.0, 'RMSSD': 14.6}",14:31
6,1,52.8,"{'SDNN': 22.9, 'RMSSD': 15.1}",14:32
7,1,53.3,"{'SDNN': 19.5, 'RMSSD': 16.6}",14:33
8,1,54.9,"{'SDNN': 22.0, 'RMSSD': 17.1}",14:34
9,1,50.4,"{'SDNN': 19.1, 'RMSSD': 18.5}",14:35
10,1,30.0,"{'SDNN': 10.4, 'RMSSD': 5.8}",14:36
11,1,28.5,"{'SDNN': 9.3, 'RMSSD': 6.0}",14:37
12,1,25.2,"{'SDNN': 8.4, 'RMSSD': 5.5}",14:38
13,1,24.0,"{'SDNN': 7.3, 'RMSSD': 5.2}",14:39
14,1,22.8,"{'SDNN': 6.8, 'RMSSD': 4.9}",14:40
15,1,23.5,"{'SDNN': 7.0, 'RMSSD': 4.6}",14:41
16,1,24.1,"{'SDNN': 6.5, 'RMSSD': 4.7}",14:42
17,1,26.3,"{'SDNN': 7.5, 'RMSSD': 5.3}",14:43
18,1,27.0,"{'SDNN': 8.0, 'RMSSD': 5.0}",14:44
19,1,29.2,"{'SDNN': 9.0, 'RMSSD': 5.5}",14:45
20,1,28.0,"{'SDNN': 8.7, 'RMSSD': 6.1}",14:46
21,1,57.6,"{'SDNN': 25.9, 'RMSSD': 19.4}",14:47
22,1,54.7,"{'SDNN': 25.3, 'RMSSD': 20.5}",14:48
23,1,60.0,"{'SDNN': 23.0, 'RMSSD': 22.0}",14:49
24,1,60.7,"{'SDNN': 26.4, 'RMSSD': 21.4}",14:50
24,1,60.7,"{'SDNN': 26.4, 'RMSSD': 21.4}",14:50
25,1,60.8,"{'SDNN': 26.9, 'RMSSD': 22.5}",14:51
26,1,57.3,"{'SDNN': 26.3, 'RMSSD': 22.6}",14:52
27,1,60.7,"{'SDNN': 26.4, 'RMSSD': 22.2}",14:53
28,1,60.9,"{'SDNN': 26.1, 'RMSSD': 22.8}",14:54
29,1,57.0,"{'SDNN': 23.6, 'RMSSD': 23.5}",14:55
30,1,61.3,"{'SDNN': 28.0, 'RMSSD': 20.4}",14:56
31,1,55.3,"{'SDNN': 28.0, 'RMSSD': 21.0}",14:57
32,1,60.1,"{'SDNN': 25.2, 'RMSSD': 23.7}",14:58
33,1,57.4,"{'SDNN': 24.4, 'RMSSD': 24.3}",14:59
34,1,56.9,"{'SDNN': 28.6, 'RMSSD': 23.3}",15:0
35,1,56.8,"{'SDNN': 23.8, 'RMSSD': 22.6}",15:1
36,1,62.1,"{'SDNN': 27.7, 'RMSSD': 25.7}",15:2
37,1,59.5,"{'SDNN': 28.0, 'RMSSD': 23.0}",15:3
38,1,62.9,"{'SDNN': 28.2, 'RMSSD': 24.4}",15:4
39,1,57.9,"{'SDNN': 29.3, 'RMSSD': 22.9}",15:5
40,1,60.2,"{'SDNN': 29.4, 'RMSSD': 24.9}",15:6
41,1,62.3,"{'SDNN': 30.8, 'RMSSD': 24.4}",15:7
42,1,64.6,"{'SDNN': 29.0, 'RMSSD': 27.0}",15:8
43,1,61.2,"{'SDNN': 26.0, 'RMSSD': 27.2}",15:9
44,1,63.9,"{'SDNN': 29.7, 'RMSSD': 24.0}",15:10
45,1,66.3,"{'SDNN': 27.6, 'RMSSD': 26.8}",15:11
46,1,64.4,"{'SDNN': 26.4, 'RMSSD': 26.6}",15:12
47,1,61.7,"{'SDNN': 28.3, 'RMSSD': 27.0}",15:13
48,1,60.3,"{'SDNN': 26.7, 'RMSSD': 28.2}",15:14
49,1,67.4,"{'SDNN': 32.4, 'RMSSD': 28.9}",15:15
50,1,60.9,"{'SDNN': 31.3, 'RMSSD': 25.8}",15:16
51,1,68.0,"{'SDNN': 31.5, 'RMSSD': 25.6}",15:17
52,1,65.5,"{'SDNN': 27.3, 'RMSSD': 27.0}",15:18
53,1,69.1,"{'SDNN': 30.3, 'RMSSD': 29.1}",15:19
54,1,68.3,"{'SDNN': 31.7, 'RMSSD': 28.0}",15:20
55,1,70.2,"{'SDNN': 29.4, 'RMSSD': 30.5}",15:21
56,1,65.3,"{'SDNN': 30.6, 'RMSSD': 28.6}",15:22
57,1,68.9,"{'SDNN': 29.2, 'RMSSD': 30.2}",15:23
58,1,66.3,"{'SDNN': 32.6, 'RMSSD': 28.1}",15:24
59,1,67.2,"{'SDNN': 29.1, 'RMSSD': 30.2}",15:25
60,1,68.7,"{'SDNN': 32.7, 'RMSSD': 28.8}",15:26
61,1,71.0,"{'SDNN': 34.7, 'RMSSD': 28.6}",15:27
62,1,72.2,"{'SDNN': 31.8, 'RMSSD': 32.0}",15:28
63,1,70.7,"{'SDNN': 31.9, 'RMSSD': 31.1}",15:29
64,1,68.2,"{'SDNN': 32.0, 'RMSSD': 29.8}",15:30
65,1,68.6,"{'SDNN': 35.7, 'RMSSD': 30.6}",15:31
66,1,71.4,"{'SDNN': 35.4, 'RMSSD': 30.2}",15:32
67,1,67.7,"{'SDNN': 31.5, 'RMSSD': 29.6}",15:33
68,1,67.0,"{'SDNN': 34.3, 'RMSSD': 31.2}",15:34
69,1,69.2,"{'SDNN': 35.8, 'RMSSD': 31.9}",15:35
70,1,69.0,"{'SDNN': 36.6, 'RMSSD': 31.0}",15:36
71,1,69.4,"{'SDNN': 36.2, 'RMSSD': 33.6}",15:37
72,1,69.2,"{'SDNN': 35.8, 'RMSSD': 34.1}",15:38
73,1,67.9,"{'SDNN': 36.0, 'RMSSD': 33.5}",15:39
74,1,68.0,"{'SDNN': 32.4, 'RMSSD': 31.4}",15:40
75,1,76.1,"{'SDNN': 37.3, 'RMSSD': 34.0}",15:41
76,1,71.9,"{'SDNN': 36.8, 'RMSSD': 33.7}",15:42
77,1,71.9,"{'SDNN': 32.9, 'RMSSD': 32.5}",15:43
78,1,74.5,"{'SDNN': 36.5, 'RMSSD': 34.0}",15:44
79,1,71.1,"{'SDNN': 33.8, 'RMSSD': 34.5}",15:45
80,1,77.3,"{'SDNN': 33.2, 'RMSSD': 35.1}",15:46
81,1,76.3,"{'SDNN': 34.6, 'RMSSD': 36.2}",15:47
82,1,71.0,"{'SDNN': 35.1, 'RMSSD': 35.1}",15:48
83,1,73.9,"{'SDNN': 33.5, 'RMSSD': 33.8}",15:49
84,1,77.9,"{'SDNN': 36.0, 'RMSSD': 35.7}",15:50
85,1,78.8,"{'SDNN': 37.4, 'RMSSD': 35.2}",15:51
86,1,75.2,"{'SDNN': 38.2, 'RMSSD': 37.7}",15:52
87,1,76.7,"{'SDNN': 38.9, 'RMSSD': 34.7}",15:53
88,1,73.4,"{'SDNN': 37.3, 'RMSSD': 35.2}",15:54
89,1,80.3,"{'SDNN': 36.1, 'RMSSD': 38.9}",15:55
90,1,74.6,"{'SDNN': 35.7, 'RMSSD': 37.2}",15:56
91,1,80.5,"{'SDNN': 38.7, 'RMSSD': 38.3}",15:57
92,1,78.5,"{'SDNN': 38.6, 'RMSSD': 35.8}",15:58
93,1,78.5,"{'SDNN': 37.4, 'RMSSD': 38.1}",15:59
94,1,78.0,"{'SDNN': 36.1, 'RMSSD': 37.7}",15:60
95,1,76.0,"{'SDNN': 36.0, 'RMSSD': 36.8}",15:61
96,1,75.9,"{'SDNN': 38.4, 'RMSSD': 37.3}",15:62
97,1,76.6,"{'SDNN': 39.6, 'RMSSD': 39.8}",15:63
98,1,76.6,"{'SDNN': 41.2, 'RMSSD': 38.1}",15:64
99,1,81.6,"{'SDNN': 37.6, 'RMSSD': 37.9}",15:65
100,1,48.8,"{'SDNN': 20.8, 'RMSSD': 15.8}",15:66
