hrv_id,focus_id,hrv_data,hrv_rawdata,timestamp
1,6,60.3,"{'SDNN': 31.2, 'RMSSD': 23.6}",14:27
2,6,56.7,"{'SDNN': 30.7, 'RMSSD': 25.7}",14:28
3,6,59.2,"{'SDNN': 30.0, 'RMSSD': 26.5}",14:29
4,6,57.8,"{'SDNN': 33.4, 'RMSSD': 27.6}",14:30
5,6,57.5,"{'SDNN': 30.7, 'RMSSD': 24.7}",14:31
6,6,65.2,"{'SDNN': 34.2, 'RMSSD': 27.9}",14:32
7,6,60.1,"{'SDNN': 29.2, 'RMSSD': 28.5}",14:33
8,6,64.2,"{'SDNN': 34.0, 'RMSSD': 27.2}",14:34
9,6,60.0,"{'SDNN': 32.5, 'RMSSD': 27.0}",14:35
10,6,63.7,"{'SDNN': 29.6, 'RMSSD': 27.0}",14:36
11,6,64.6,"{'SDNN': 34.3, 'RMSSD': 26.0}",14:37
12,6,63.5,"{'SDNN': 31.8, 'RMSSD': 27.9}",14:38
13,6,62.8,"{'SDNN': 33.2, 'RMSSD': 30.3}",14:39
14,6,62.5,"{'SDNN': 32.3, 'RMSSD': 28.3}",14:40
15,6,62.3,"{'SDNN': 34.9, 'RMSSD': 29.0}",14:41
16,6,67.2,"{'SDNN': 32.1, 'RMSSD': 29.3}",14:42
17,6,66.6,"{'SDNN': 31.8, 'RMSSD': 28.5}",14:43
18,6,68.0,"{'SDNN': 34.2, 'RMSSD': 29.8}",14:44
19,6,61.5,"{'SDNN': 37.0, 'RMSSD': 29.8}",14:45
20,6,66.6,"{'SDNN': 35.2, 'RMSSD': 31.2}",14:46
21,6,68.5,"{'SDNN': 32.1, 'RMSSD': 31.7}",14:47
22,6,62.7,"{'SDNN': 33.3, 'RMSSD': 33.1}",14:48
23,6,62.0,"{'SDNN': 33.4, 'RMSSD': 31.3}",14:49
24,6,67.7,"{'SDNN': 33.3, 'RMSSD': 33.9}",14:50
25,6,66.6,"{'SDNN': 36.0, 'RMSSD': 32.6}",14:51
26,6,69.0,"{'SDNN': 33.7, 'RMSSD': 33.5}",14:52
27,6,63.6,"{'SDNN': 34.8, 'RMSSD': 34.4}",14:53
28,6,69.1,"{'SDNN': 35.0, 'RMSSD': 31.9}",14:54
29,6,64.6,"{'SDNN': 34.2, 'RMSSD': 33.3}",14:55
30,6,64.6,"{'SDNN': 37.6, 'RMSSD': 32.0}",14:56
31,6,64.8,"{'SDNN': 39.2, 'RMSSD': 33.8}",14:57
32,6,70.3,"{'SDNN': 37.9, 'RMSSD': 34.1}",14:58
33,6,69.3,"{'SDNN': 37.4, 'RMSSD': 34.8}",14:59
34,6,68.4,"{'SDNN': 36.2, 'RMSSD': 33.6}",15:0
35,6,67.4,"{'SDNN': 40.7, 'RMSSD': 37.0}",15:1
36,6,71.8,"{'SDNN': 38.0, 'RMSSD': 34.6}",15:2
37,6,68.1,"{'SDNN': 39.9, 'RMSSD': 35.4}",15:3
38,6,71.8,"{'SDNN': 36.4, 'RMSSD': 34.7}",15:4
39,6,69.0,"{'SDNN': 40.8, 'RMSSD': 37.0}",15:5
40,6,68.8,"{'SDNN': 36.9, 'RMSSD': 35.6}",15:6
41,6,69.7,"{'SDNN': 38.4, 'RMSSD': 37.7}",15:7
42,6,68.7,"{'SDNN': 37.4, 'RMSSD': 35.7}",15:8
43,6,72.5,"{'SDNN': 42.3, 'RMSSD': 36.3}",15:9
44,6,70.8,"{'SDNN': 41.7, 'RMSSD': 36.9}",15:10
45,6,68.9,"{'SDNN': 38.6, 'RMSSD': 37.2}",15:11
46,6,74.4,"{'SDNN': 42.6, 'RMSSD': 39.9}",15:12
47,6,70.6,"{'SDNN': 43.5, 'RMSSD': 38.4}",15:13
48,6,72.1,"{'SDNN': 42.8, 'RMSSD': 37.9}",15:14
49,6,75.3,"{'SDNN': 40.8, 'RMSSD': 41.0}",15:15
50,6,73.2,"{'SDNN': 39.3, 'RMSSD': 38.0}",15:16
51,6,69.4,"{'SDNN': 40.7, 'RMSSD': 38.1}",15:17
52,6,76.3,"{'SDNN': 40.8, 'RMSSD': 40.6}",15:18
53,6,74.0,"{'SDNN': 42.5, 'RMSSD': 42.2}",15:19
54,6,71.9,"{'SDNN': 45.2, 'RMSSD': 40.3}",15:20
55,6,70.6,"{'SDNN': 42.1, 'RMSSD': 40.7}",15:21
56,6,76.1,"{'SDNN': 44.3, 'RMSSD': 40.6}",15:22
57,6,75.0,"{'SDNN': 44.7, 'RMSSD': 41.4}",15:23
58,6,74.5,"{'SDNN': 44.6, 'RMSSD': 41.8}",15:24
59,6,77.7,"{'SDNN': 43.3, 'RMSSD': 44.2}",15:25
60,6,77.1,"{'SDNN': 46.3, 'RMSSD': 41.3}",15:26
61,6,72.2,"{'SDNN': 47.2, 'RMSSD': 42.9}",15:27
62,6,73.7,"{'SDNN': 47.6, 'RMSSD': 44.5}",15:28
63,6,73.5,"{'SDNN': 45.1, 'RMSSD': 41.7}",15:29
64,6,77.7,"{'SDNN': 44.4, 'RMSSD': 44.1}",15:30
